id,round,date,home_team,tf,away_team,home_score,away_score
339,34,Mon May 03 2021,Burnley,1–2,West Ham,1,2
340,34,Thu May 13 2021(P),Manchester Utd,2–4,Liverpool,2,4
341,35,Fri May 07 2021,Leicester City,2–4,Newcastle Utd,2,4
342,35,Sat May 08 2021,Leeds United,3–1,Tottenham,3,1
343,35,Sat May 08 2021,Sheffield Utd,0–2,Crystal Palace,0,2
344,35,Sat May 08 2021,Manchester City,1–2,Chelsea,1,2
345,35,Sat May 08 2021,Liverpool,2–0,Southampton,2,0
346,35,Sun May 09 2021,Wolves,2–1,Brighton,2,1
347,35,Sun May 09 2021,Aston Villa,1–3,Manchester Utd,1,3
348,35,Sun May 09 2021,West Ham,0–1,Everton,0,1
349,35,Sun May 09 2021,Arsenal,3–1,West Brom,3,1
350,35,Mon May 10 2021,Fulham,0–2,Burnley,0,2
351,36,Tue May 11 2021,Manchester Utd,1–2,Leicester City,1,2
352,36,Wed May 12 2021,Chelsea,0–1,Arsenal,0,1
353,36,Fri May 14 2021,Newcastle Utd,3–4,Manchester City,3,4
354,36,Sat May 15 2021,Burnley,0–4,Leeds United,0,4
355,36,Sat May 15 2021,Southampton,3–1,Fulham,3,1
356,36,Sat May 15 2021,Brighton,1–1,West Ham,1,1
357,36,Sun May 16 2021,Crystal Palace,3–2,Aston Villa,3,2
358,36,Sun May 16 2021,Tottenham,2–0,Wolves,2,0
359,36,Sun May 16 2021,West Brom,1–2,Liverpool,1,2
360,36,Sun May 16 2021,Everton,0–1,Sheffield Utd,0,1
361,37,Tue May 18 2021,Manchester Utd,1–1,Fulham,1,1
362,37,Tue May 18 2021,Southampton,0–2,Leeds United,0,2
363,37,Tue May 18 2021,Brighton,3–2,Manchester City,3,2
364,37,Tue May 18 2021,Chelsea,2–1,Leicester City,2,1
365,37,Wed May 19 2021,Newcastle Utd,1–0,Sheffield Utd,1,0
366,37,Wed May 19 2021,Tottenham,1–2,Aston Villa,1,2
367,37,Wed May 19 2021,Everton,1–0,Wolves,1,0
368,37,Wed May 19 2021,Crystal Palace,1–3,Arsenal,1,3
369,37,Wed May 19 2021,Burnley,0–3,Liverpool,0,3
370,37,Wed May 19 2021,West Brom,1–3,West Ham,1,3
371,38,Sun May 23 2021,Aston Villa,2–1,Chelsea,2,1
372,38,Sun May 23 2021,Leicester City,2–4,Tottenham,2,4
373,38,Sun May 23 2021,Manchester City,5–0,Everton,5,0
374,38,Sun May 23 2021,Sheffield Utd,1–0,Burnley,1,0
375,38,Sun May 23 2021,Wolves,1–2,Manchester Utd,1,2
376,38,Sun May 23 2021,West Ham,3–0,Southampton,3,0
377,38,Sun May 23 2021,Leeds United,3–1,West Brom,3,1
378,38,Sun May 23 2021,Arsenal,2–0,Brighton,2,0
379,38,Sun May 23 2021,Liverpool,2–0,Crystal Palace,2,0
380,38,Sun May 23 2021,Fulham,0–2,Newcastle Utd,0,2
